State,Code,Name,Type,Visitors
MD,CLBA,Clara Barton National Historic Site,National Historic Site,11289.0
PA,THKO,Thaddeus Kosciuszko National Memorial,National Memorial,11220.0
FL,DRTO,Dry Tortugas National Park,National Park,10150.0
NE,AGFO,Agate Fossil Beds National Monument,National Monument,9459.0
ND,FOUS,Fort Union Trading Post National Historic Site,National Historic Site,9139.0
OH,WIHO,William Howard Taft National Historic Site,National Historic Site,5518.0
AZ,FOBO,Fort Bowie National Historic Site,National Historic Site,5153.0
ND,KNRI,Knife River Indian Villages National Historic Site,National Historic Site,4616.0
TX,ALFL,Alibates Flint Quarries National Monument,National Monument,2384.0
MS,BRCR,Brices Cross Roads National Battlefield Site,National Battlefield Site,2220.0
RI,ROWI,Roger Williams National Memorial,National Memorial,2112.0
MA,FRLA,Frederick Law Olmsted National Historic Site,National Historic Site,1882.0
MS,TUPE,Tupelo National Battlefield,National Battlefield,680.0
NY,HAGR,Hamilton Grange National Memorial,National Memorial,0.0
CA,GOGA,Golden Gate National Recreation Area,National Recreation Area,18421773.0
NC,BLRI,Blue Ridge Parkway,Parkway,13415014.0
MS,NATR,Natchez Trace Parkway,Parkway,10601566.0
NY,GATE,Gateway National Recreation Area,National Recreation Area,9053257.0
NC,GRSM,Great Smoky Mountains National Park,National Park,8440953.0
VA,COLO,Colonial National Historical Park,National Historical Park,6338912.0
VA,GWMP,George Washington Memorial Parkway,National Parkway,6266121.0
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area,4965601.0
MA,CACO,Cape Cod National Seashore,National Seashore,4788342.0
DC,NACA,National Capital Parks,Park,4084995.0
DC,LINC,Lincoln Memorial,National Memorial,3307585.0
PA,VAFO,Valley Forge National Historical Park,National Historical Park,3219806.0
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,3101125.0
ME,ACAD,Acadia National Park,National Park,2779666.0
CO,ROMO,Rocky Mountain National Park,National Park,2641937.0
WY,GRTE,Grand Teton National Park,National Park,2555627.0
FL,GUIS,Gulf Islands National Seashore,National Seashore,2507507.0
CA,YOSE,Yosemite National Park,National Park,2490282.0
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,2470965.0
AZ,GRCA,Grand Canyon National Park,National Park,2304973.0
MA,BOST,Boston National Historical Park,National Historical Park,2034110.0
PA,INDE,Independence National Historical Park,National Historical Park,2033208.0
WA,OLYM,Olympic National Park,National Park,2032418.0
WY,YELL,Yellowstone National Park,National Park,2000269.0
MD,ASIS,Assateague Island National Seashore,National Seashore,1967525.0
MO,JEFF,Jefferson National Expansion Memorial,National Memorial,1928825.0
OK,CHIC,Chickasaw National Recreation Area,National Recreation Area,1927044.0
NY,STLI,Statue Of Liberty National Monument,National Monument,1771066.0
VA,SHEN,Shenandoah National Park,National Park,1699228.0
HI,HAVO,Hawai'i Volcanoes National Park,National Park,1692338.0
PR,SAJU,San Juan National Historic Site,National Historic Site,1601984.0
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area,1571491.0
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area,1570790.0
NC,CAHA,Cape Hatteras National Seashore,National Seashore,1510237.0
KY,MACA,Mammoth Cave National Park,National Park,1495787.0
MT,GLAC,Glacier National Park,National Park,1474578.0
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway,1428711.0
CA,PORE,Point Reyes National Seashore,National Seashore,1408810.0
DC,WHHO,White House,Other Designation,1318583.0
CA,MUWO,Muir Woods National Monument,National Monument,1311613.0
DC,WAMO,Washington Monument,National Memorial,1305760.0
WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,1303756.0
SD,MORU,Mount Rushmore National Memorial,National Memorial,1284888.0
WA,MORA,Mount Rainier National Park,National Park,1268256.0
CA,CABR,Cabrillo National Monument,National Monument,1253098.0
IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore,1222874.0
DC,JEFM,Thomas Jefferson Memorial,National Memorial,1216966.0
AR,HOSP,Hot Springs National Park,National Park,1160588.0
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,1149628.0
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,1145070.0
UT,ZION,Zion National Park,National Park,1123846.0
PA,GETT,Gettysburg National Military Park,National Military Park,1096364.0
TX,AMIS,Amistad National Recreation Area,National Recreation Area,1084689.0
DC,ROCR,Rock Creek Park,Park,1059794.0
MA,MIMA,Minute Man National Historical Park,National Historical Park,1005047.0
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,995434.0
SD,BADL,Badlands National Park,National Park,952652.0
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,934778.0
CO,CURE,Curecanti National Recreation Area,National Recreation Area,891490.0
FL,CANA,Canaveral National Seashore,National Seashore,885620.0
CA,SEQU,Sequoia National Park,National Park,862397.0
LA,VICK,Vicksburg National Military Park,National Military Park,834252.0
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area,833400.0
CA,KICA,Kings Canyon National Park,National Park,819065.0
VA,MANA,Manassas National Battlefield Park,National Battlefield Park,797913.0
WA,NOCA,North Cascades National Park,National Park,796079.0
CA,FOPO,Fort Point National Historic Site,National Historic Site,792694.0
TX,PAIS,Padre Island National Seashore,National Seashore,765423.0
FL,EVER,Everglades National Park,National Park,744244.0
MI,SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore,689274.0
AZ,PEFO,Petrified Forest National Park,National Park,683121.0
NM,CAVE,Carlsbad Caverns National Park,National Park,672963.0
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site,647622.0
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park,619794.0
CA,DEVA,Death Valley National Park,National Park,618140.0
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument,614665.0
AZ,SAGU,Saguaro National Park,National Park,611317.0
FL,CASA,Castillo de San Marcos National Monument,National Monument,609510.0
NY,FIIS,Fire Island National Seashore,National Seashore,604401.0
ND,THRO,Theodore Roosevelt National Park,National Park,595734.0
NJ,MORR,Morristown National Historical Park,National Historical Park,580792.0
AR,BUFF,Buffalo National River,National River,576352.0
UT,BRCA,Bryce Canyon National Park,National Park,571541.0
OH,CUVA,Cuyahoga Valley National Park,National Park,563300.0
HI,HALE,Haleakala National Park,National Park,560238.0
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park,549997.0
VI,VIIS,Virgin Islands National Park,National Park,547918.0
VA,PETE,Petersburg National Battlefield,National Battlefield,545765.0
CA,JOTR,Joshua Tree National Park,National Park,545357.0
CO,MEVE,Mesa Verde National Park,National Park,539257.0
NM,WHSA,White Sands National Monument,National Monument,511476.0
MD,FOWA,Fort Washington Park,Other Designation,488614.0
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park,485666.0
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,484364.0
SD,WICA,Wind Cave National Park,National Park,473061.0
CA,REDW,Redwood National Park,National Park,471710.0
OR,CRLA,Crater Lake National Park,National Park,455143.0
NC,WRBR,Wright Brothers National Memorial,National Memorial,428809.0
AZ,MOCA,Montezuma Castle National Monument,National Monument,413885.0
IL,LIHO,Lincoln Home National Historic Site,National Historic Site,408434.0
UT,CEBR,Cedar Breaks National Monument,National Monument,404423.0
VA,PRWI,Prince William Forest Park,Park,404358.0
MD,CATO,Catoctin Mountain Park,Other Designation,400016.0
CA,LAVO,Lassen Volcanic National Park,National Park,394425.0
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,377751.0
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,372212.0
MA,SAMA,Salem Maritime National Historic Site,National Historic Site,354337.0
WI,SACN,Saint Croix National Scenic Riverway,National Scenic Riverway,354173.0
MD,ANTI,Antietam National Battlefield,National Battlefield,352780.0
NC,FORA,Fort Raleigh National Historic Site,National Historic Site,350464.0
GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area,345956.0
TN,FODO,Fort Donelson National Battlefield,National Battlefield,343964.0
UT,CARE,Capitol Reef National Park,National Park,342788.0
CO,BLCA,Black Canyon of the Gunnison National Park,National Park,336119.0
CO,DINO,Dinosaur National Monument,National Monument,332781.0
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area,322728.0
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,317982.0
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,316535.0
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument,312079.0
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore,311000.0
MS,SHIL,Shiloh National Battlefield,National Battlefield,299615.0
GA,FOFR,Fort Frederica National Monument,National Monument,298718.0
UT,ARCH,Arches National Park,National Park,290519.0
AZ,CACH,Canyon de Chelly National Monument,National Monument,284015.0
GA,FOPU,Fort Pulaski National Monument,National Monument,283483.0
MD,GREE,Greenbelt Park,Other Designation,283365.0
CO,COLM,Colorado National Monument,National Monument,275229.0
MA,LOWE,Lowell National Historical Park,National Historical Park,274149.0
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,271217.0
MN,VOYA,Voyageurs National Park,National Park,266935.0
VA,RICH,Richmond National Battlefield Park,National Battlefield Park,255736.0
FL,FOMA,Fort Matanzas National Monument,National Monument,254243.0
FL,BISC,Biscayne National Park,National Park,248071.0
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,239074.0
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial,218811.0
VA,APCO,Appomattox Court House National Historical Park,National Historical Park,218724.0
AK,DENA,Denali National Park,National Park,216361.0
AK,DENA,Denali National Preserve,National Park,216361.0
SC,KIMO,Kings Mountain National Military Park,National Military Park,214931.0
WY,DETO,Devils Tower National Monument,National Monument,213692.0
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site,212702.0
SC,FOSU,Fort Sumter National Monument,National Monument,183416.0
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,183311.0
NY,SAHI,Sagamore Hill National Historic Site,National Historic Site,181231.0
NM,BAND,Bandelier National Monument,National Monument,176410.0
TX,BIBE,Big Bend National Park,National Park,174008.0
FL,DESO,De Soto National Memorial,National Memorial,172932.0
WA,NEPE,Nez Perce National Historical Park,National Historical Park,169727.0
NY,CACL,Castle Clinton National Monument,National Monument,164484.0
PA,EISE,Eisenhower National Historic Site,National Historic Site,164443.0
CA,PINN,Pinnacles National Park,National Park,163626.0
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site,163074.0
ID,CRMO,Craters of the Moon National Monument,National Monument,162454.0
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site,162142.0
AZ,WUPA,Wupatki National Monument,National Monument,161846.0
MD,PISC,Piscataway Park,Other Designation,160912.0
NC,GUCO,Guilford Courthouse National Military Park,National Military Park,156754.0
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument,148311.0
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial,145289.0
CO,GRSA,Great Sand Dunes National Park,National Park,142427.0
CO,GRSA,Great Sand Dunes National Preserve,National Preserve,142427.0
MN,PIPE,Pipestone National Monument,National Monument,136358.0
PA,FONE,Fort Necessity National Battlefield,National Battlefield,132487.0
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument,129090.0
FL,FOCA,Fort Caroline National Memorial,National Memorial,128619.0
GA,ANDE,Andersonville National Historic Site,National Historic Site,126700.0
VA,GEWA,George Washington Birthplace National Monument,National Monument,114147.0
TX,GUMO,Guadalupe Mountains National Park,National Park,113825.0
UT,RABR,Rainbow Bridge National Monument,National Monument,113816.0
NE,SCBL,Scotts Bluff National Monument,National Monument,109520.0
AZ,CAGR,Casa Grande Ruins National Monument,National Monument,109202.0
TN,STRI,Stones River National Battlefield,National Battlefield,108157.0
UT,TICA,Timpanogos Cave National Monument,National Monument,107041.0
AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site,106358.0
CA,CHIS,Channel Islands National Park,National Park,104574.0
VI,CHRI,Christiansted National Historic Site,National Historic Site,104458.0
WA,SAJH,San Juan Island National Historical Park,National Historical Park,103452.0
AR,FOSM,Fort Smith National Historic Site,National Historic Site,102361.0
OR,JODA,John Day Fossil Beds National Monument,National Monument,101167.0
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park,101060.0
NY,SARA,Saratoga National Historical Park,National Historical Park,97910.0
WA,WHMI,Whitman Mission National Historic Site,National Historic Site,97504.0
NY,FEHA,Federal Hall National Memorial,National Memorial,95343.0
AK,GLBA,Glacier Bay National Park,National Park,95005.0
AK,GLBA,Glacier Bay National Preserve,National Preserve,95005.0
AR,PERI,Pea Ridge National Military Park,National Military Park,94687.0
SD,JECA,Jewel Cave National Monument,National Monument,90198.0
WY,FOLA,Fort Laramie National Historic Site,National Historic Site,89861.0
GA,OCMU,Ocmulgee National Monument,National Monument,88929.0
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore,88467.0
CA,LABE,Lava Beds National Monument,National Monument,87993.0
SC,COWP,Cowpens National Battlefield,National Battlefield,85766.0
IN,GERO,George Rogers Clark National Historical Park,National Historical Park,80568.0
